,id,sample,unac,cons,submitdate,lastpage,lan,seed,startdate,datestamp,gender,age,english,pre_happy,difficulties,post_happy,own_definition,synthetic_voices,daily_encounter,negative_experience,familiar_definition,agree_definition,verification,user_comment,voice_gender,google_pitch,sample_id,pitch_weighted,pitch_mean,pitch_median,pitch_std
27,2,27_sample_60c5d6bf5659ea5e55def51c_p+10_f.wav,9.0,2.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,60c5d6bf5659ea5e55def51c,363.5178458970007,446.5561716256685,351.82406225736884,351.34386562510383
28,2,28_sample_60c5d6bf5659ea5e55def51c_p+10_m.wav,14.0,6.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,60c5d6bf5659ea5e55def51c,240.8344995054811,341.6979419483644,230.218617556802,367.3469681844473
29,2,29_sample_60c5d6bf5659ea5e55defbed_p-10_f.wav,57.0,41.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,60c5d6bf5659ea5e55defbed,203.1633857360342,292.9208302334188,177.49195400833935,316.8870685822867
34,2,34_sample_60c5d6bf5659ea5e55defd2b_p-10_m.wav,45.0,15.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,60c5d6bf5659ea5e55defd2b,147.83821918394312,280.0400250876869,117.52346331643132,370.6655388441718
35,2,35_sample_60c5d6bf5659ea5e55defd2b_p+10_f.wav,20.0,11.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,60c5d6bf5659ea5e55defd2b,364.8346058931698,437.5728564542495,367.70603067998985,294.7029748453692
36,2,36_sample_60c5d6bf5659ea5e55defd2b_p+10_m.wav,25.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,60c5d6bf5659ea5e55defd2b,251.71630826188863,347.35897218668225,242.65654659271064,354.967892838042
38,2,38_sample_7699_p-10_m.wav,96.0,78.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,7699,147.90113581613988,308.7155923341897,119.6978646927078,415.6435796715541
40,2,40_sample_7699_p+10_m.wav,19.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,7699,236.9763182747345,372.592222535474,231.2252941706643,376.45945129618366
42,2,42_sample_7809_p-10_m.wav,22.0,7.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,7809,127.23376755839472,253.1450252161828,103.38840423348324,345.1161447140598
43,2,43_sample_7809_p+10_f.wav,23.0,12.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,7809,374.83484023126334,443.0876483899213,358.32192663806075,313.93080723614224
48,2,48_sample_9064_p+10_m.wav,54.0,42.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,9064,263.6580809011482,374.8085042436387,243.41783284515475,366.4474325756373
49,2,49_sample_9093_p-10_f.wav,86.0,62.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,9093,211.74204414820463,354.6349944911342,192.4996154941254,395.5453313653304
52,2,52_sample_9093_p+10_m.wav,84.0,17.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,9093,267.35335984908374,371.22195298848646,259.96572310619445,351.3881965521297
53,4,01_sample_22967_p-10_f.wav,95.0,85.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,-10.0,22967,196.3264958169721,332.90278400367094,167.52681909510437,396.0050440823331
54,4,02_sample_22967_p-10_m.wav,99.0,94.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,-10.0,22967,142.34470599123688,291.85967294884466,106.66129674258718,425.23396481496906
55,4,03_sample_22967_p+10_f.wav,95.0,90.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,10.0,22967,359.72974158663635,454.0182547019731,363.4439704921498,353.7843594543683
56,4,04_sample_22967_p+10_m.wav,94.0,87.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,10.0,22967,249.22199487822223,360.4410379690174,240.7921557344637,369.23328726668245
57,4,05_sample_2994_p-10_f.wav,95.0,89.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,-10.0,2994,202.33791737484293,310.9071040223541,179.91676553935082,329.16252881248386
59,4,07_sample_2994_p+10_f.wav,97.0,90.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,10.0,2994,380.8630534382837,440.92482495103326,393.2270699053482,260.5064653818536
60,4,08_sample_2994_p+10_m.wav,93.0,86.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,10.0,2994,280.8571478395866,357.7146016215786,261.895958660944,295.73384589004746
62,4,10_sample_3913_p-10_m.wav,70.0,50.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,-10.0,3913,240.6989919309526,373.3689072689052,207.10743174045183,399.8098024730553
64,4,12_sample_3913_p+10_m.wav,70.0,58.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,10.0,3913,292.5490375454518,378.3708576167281,268.1856292182659,307.84455953319934
66,4,14_sample_4382_p-10_m.wav,20.0,14.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,-10.0,4382,150.33947748561314,352.8274654745969,132.86612165048246,405.392887797881
71,4,19_sample_5213_p+10_f.wav,90.0,75.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,10.0,5213,373.46602240866,509.23994579447816,368.9481430340786,433.7992351471052
72,4,20_sample_5213_p+10_m.wav,91.0,82.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Male,10.0,5213,265.9528152065761,429.4083244563179,271.495566505596,435.4804590208056
73,4,21_sample_6037_p-10_f.wav,93.0,82.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,-10.0,6037,198.28566360198656,370.8076475012946,183.18793736377316,424.7239741350455
77,4,25_sample_60c5d6bf5659ea5e55def51c_p-10_f.wav,16.0,8.0,2023-11-06 16:06:52,59,en,1037337359,2023-11-06 15:47:33,2023-11-06 15:47:33,Female,27,Advanced,63,No,54,"Public Speech, that is expressing hate towards a specific group (like religion, sexual orientation, origin, ...)",0,11,No,No,Yes,Yes,,Female,-10.0,60c5d6bf5659ea5e55def51c,186.62721020795811,301.8396530827595,165.8467432217846,384.0546523190589
