,time,frequency,confidence
168,1.68,195.33862008442966,0.8992482
169,1.69,193.0616571074301,0.8123033
170,1.7,190.50111977099408,0.5732627
171,1.71,187.98631841760115,0.36297667
172,1.72,201.41720632447976,0.14438927
173,1.73,666.0422290788606,0.084386915
174,1.74,973.1528805801329,0.10393031
175,1.75,530.8486319474888,0.013641211
176,1.76,33.933094516124505,0.026037127
177,1.77,267.53760244386535,0.068612196
178,1.78,224.5552354045784,0.40748313
179,1.79,217.57841454969343,0.48704758
180,1.8,208.61401846874796,0.5136815
181,1.81,203.50501322659485,0.5766245
182,1.82,199.923588795768,0.5131462
183,1.83,192.61048720390718,0.73745924
184,1.84,187.92984378727286,0.88594484
185,1.85,184.8656650955137,0.9050438
186,1.86,181.91735039377102,0.9227368
187,1.87,178.75850334968197,0.8928877
188,1.88,174.81471828317632,0.86905754
189,1.89,170.1948141248803,0.82752585
190,1.9,165.97830914939118,0.8695319
191,1.91,162.67074569489358,0.8470487
192,1.92,159.11154439454268,0.83518445
193,1.93,156.34395315299267,0.82666355
194,1.94,154.741437613748,0.57146716
195,1.95,147.34242277030665,0.4357195
196,1.96,147.33710754105098,0.23093584
197,1.97,134.84502173314894,0.09928107
198,1.98,161.6109593512362,0.23780407
199,1.99,161.4560420934781,0.6491666
200,2.0,160.57364862628805,0.84035707
201,2.01,158.45697303138277,0.8933857
202,2.02,156.44266267874607,0.94098014
203,2.03,154.807628598196,0.9304544
204,2.04,151.20277922200754,0.86408
205,2.05,147.93960123218233,0.9237944
206,2.06,146.24909687505718,0.90537536
207,2.07,144.7757650773954,0.84908134
208,2.08,143.34544847697313,0.6637671
209,2.09,139.64697408390498,0.053693105
210,2.1,32.33028863968904,0.09407979
211,2.11,32.93332662306143,0.24238555
212,2.12,33.154723748416906,0.15462613
213,2.13,32.57345632111136,0.06441703
214,2.14,154.687525858105,0.18635437
215,2.15,167.58887577140885,0.37884372
216,2.16,166.74288500457223,0.68643177
217,2.17,166.7344854926331,0.8521359
218,2.18,166.0361225574019,0.87721294
219,2.19,164.8714677895761,0.8411152
220,2.2,162.899030399759,0.78314996
221,2.21,160.8424621404709,0.8365633
222,2.22,158.5403670031157,0.88960534
223,2.23,156.17094349415598,0.9407235
224,2.24,154.62482801886614,0.93581027
225,2.25,152.56815031201944,0.8965938
226,2.26,149.87394649562424,0.86109877
227,2.27,147.5386358784812,0.92752904
228,2.28,146.78696635538097,0.94506085
229,2.29,147.13694300698342,0.95753086
230,2.3,148.01736132732856,0.9526977
231,2.31,148.41695913866795,0.94395846
232,2.32,148.19639491307032,0.9522047
233,2.33,147.75262327184686,0.96754664
234,2.34,147.38572356916058,0.9687592
235,2.35,147.0131297835913,0.9690854
236,2.36,146.61767389220387,0.94017416
237,2.37,145.24828700160495,0.76981705
238,2.38,143.80854169548863,0.53001463
239,2.39,143.26115875776995,0.43103096
240,2.4,134.81607587831684,0.35240722
241,2.41,590.437309634422,0.028902523
242,2.42,160.9134559860522,0.041410595
243,2.43,158.9460505490146,0.10947852
244,2.44,327.0368723873876,0.07842521
245,2.45,320.4061637831132,0.048647307
246,2.46,32.36179598610945,0.05929661
247,2.47,55.17136862809538,0.035626367
248,2.48,54.47769014283614,0.087063126
249,2.49,1175.5468390753958,0.035438046
250,2.5,88.00473205317749,0.046545286
251,2.51,43.907531692186495,0.016166324
252,2.52,213.1386782513577,0.3122349
253,2.53,191.6535123460075,0.38950735
254,2.54,185.69827727143615,0.642245
255,2.55,183.20975061141576,0.78290135
256,2.56,179.2247725362837,0.84389746
257,2.57,175.30591144518422,0.8967971
258,2.58,170.8248166167097,0.81393445
259,2.59,165.7216099703458,0.8741177
260,2.6,163.56123118657206,0.91230583
261,2.61,162.02388887737288,0.9283377
262,2.62,160.4898009819799,0.91129553
263,2.63,158.889271561382,0.9203772
264,2.64,157.96888900538374,0.9470063
265,2.65,157.6967952584488,0.9375564
266,2.66,157.3114151662637,0.9240169
267,2.67,155.8497601736659,0.9281559
268,2.68,154.32306375668426,0.92507493
269,2.69,152.69533707852443,0.8791151
270,2.7,151.92725876686404,0.794354
271,2.71,150.93891299991557,0.37878385
272,2.72,274.31199779109596,0.38069567
273,2.73,288.21667140818994,0.15137415
274,2.74,156.4761293778925,0.29845375
275,2.75,160.95594307844073,0.55104125
276,2.76,161.46616373093843,0.8048011
277,2.77,161.00293409819415,0.90745103
278,2.78,160.37592030037,0.9344604
279,2.79,159.2796135180638,0.9320807
280,2.8,158.60778064356407,0.9243286
281,2.81,157.4789902650921,0.86282575
282,2.82,156.33516881368303,0.66496354
283,2.83,152.74071915568462,0.40461063
284,2.84,147.56630535424028,0.34346515
285,2.85,137.76225011431245,0.17008589
286,2.86,167.9426175642234,0.35764316
287,2.87,166.64229333518708,0.6211411
288,2.88,165.72327175662235,0.78942275
289,2.89,164.23343105222412,0.85464185
290,2.9,162.89300666822984,0.8962829
291,2.91,160.7448947474316,0.8869955
292,2.92,158.26183847004313,0.9128138
293,2.93,156.36277289577873,0.9369759
294,2.94,155.2101927320627,0.8564732
295,2.95,152.5566839405107,0.7386095
296,2.96,151.848112938528,0.6800485
297,2.97,151.72154286993737,0.6850546
298,2.98,151.96831811623585,0.8294403
299,2.99,152.33139490137725,0.85769683
300,3.0,153.7362124252073,0.81986755
301,3.01,155.5150154701793,0.8858553
302,3.02,156.42945552909194,0.9213997
303,3.03,156.48302085992694,0.94385326
304,3.04,156.4776752230461,0.95131123
305,3.05,157.07104235052503,0.911066
306,3.06,157.8202135859989,0.93966633
307,3.07,157.77670964848866,0.9441215
308,3.08,156.71315657370567,0.9252627
309,3.09,155.55449947140852,0.93905187
310,3.1,154.49171829078682,0.91180974
311,3.11,153.7342609973345,0.8184828
312,3.12,154.7334017020305,0.7974275
313,3.13,154.89341208907496,0.75693053
314,3.14,152.37389725109688,0.77167904
315,3.15,152.1804126378837,0.7615793
316,3.16,150.91430660772815,0.7741115
317,3.17,149.82166887450313,0.8202028
318,3.18,150.03393105136757,0.73152405
319,3.19,149.57923861536304,0.5624363
320,3.2,151.1658816686508,0.39190403
321,3.21,147.00270528987838,0.14161503
322,3.22,1095.5882916967412,0.037201393
323,3.23,1962.5557096799864,0.10726758
324,3.24,1964.727990764724,0.18364665
325,3.25,1974.837652356407,0.25473604
326,3.26,1976.7814141863337,0.24105376
327,3.27,1977.516910047668,0.15615901
328,3.28,1951.713120915128,0.068505116
329,3.29,277.72717800125827,0.07314401
330,3.3,282.2185990621493,0.03375409
331,3.31,321.0399506732115,0.3791436
332,3.32,320.62008074335637,0.4363625
333,3.33,317.5960915633777,0.16946387
334,3.34,61.87953220244209,0.15462066
335,3.35,186.49187597837752,0.6915248
336,3.36,186.8181345087133,0.81474394
337,3.37,186.71145016321103,0.90485007
338,3.38,185.800345332215,0.96695495
339,3.39,184.308394408323,0.9416758
340,3.4,182.15857634680023,0.8566991
341,3.41,179.3604517539241,0.84216994
342,3.42,177.6290225990449,0.91565
343,3.43,176.3108132874785,0.8371521
344,3.44,173.36123971776198,0.7461596
345,3.45,167.59089057101306,0.6949062
346,3.46,162.7988583370141,0.8002455
347,3.47,158.42900392054943,0.87005574
348,3.48,154.84640888337535,0.8539693
349,3.49,150.86254453297147,0.6979948
350,3.5,145.7224092501952,0.71926963
351,3.51,139.78215605248442,0.71202666
352,3.52,136.83490086994044,0.74146056
353,3.53,133.4373565012095,0.76816875
354,3.54,131.26676346458564,0.66682655
355,3.55,126.15953355711754,0.2812993
